Plot,Site_type,Cluster,SOIL_SurSo4_kg_ha,SOIL_Ca_ppm,SOIL_Mg_ppm,SOIL_OM_pct,SOIL_TN_pct,SOIL_CN,SOIL_NH4_kg_ha,SOIL_NO3_kg_ha,SOIL_total_mineral_N,SOIL_pct_TMN_NH4,SOIL_pct_TMN_NO3,Litter_CN,Poa_CN,Other_CN,Bromus_CN,PNG,PNF,ANF,AIG,AIF,Shrubs,Total_veg_AC,Bare,Litter,Crypto,Rock,Total_plant_N_g,Total_plant_C_g,Total_plant_weight_g,Rock_O,Gravel_O
J01,I,M,9.75,3133,746,1.82,0.11,16.54545455,14.41,6.74,21.15,68.15,31.85,36.26,28.03,35.73,33.63,17.91,0.2,2.1,0.71,0.2,22.97,21.12,69.97,26.5,0.8,0.22,0.274153533,8.293607333,19.96666667,0,0.22
J02,I,I,8.39,3133.67,781.67,1.79,0.1,17.9,6.58,7.86,14.44,45.56,54.44,53.94,43.86,31.67,37.5,7.51,3.78,0.1,0.37,0,24.74,11.76,65.5,37.77,0.31,0.1,0.096703647,3.752962333,9.266666667,0,0.1
J03,I,I,8.21,3803.67,895.33,1.99,0.12,16.58333333,4.93,5.99,10.92,45.17,54.83,49.17,40.04,36.52,42.7,7.36,0,0.1,0.52,0.1,15.77,8.07,81.2,15.7,0.7,0.39,0.224879477,8.743669667,21,0.1,0.29
J06,I,I,8.82,3806.67,923,1.82,0.11,16.54545455,4.42,5.61,10.03,44.04,55.96,38.5,48.67,25.77,NA,5.09,6.1,0.2,0.38,0.1,27.68,11.87,63.7,34.5,1.3,0.1,0.232711103,10.69992633,25.9,0,0.1
J07,I,I,8.6,3930,760.67,1.99,0.1,19.9,5.38,5.99,11.36,47.31,52.69,40.5,32.01,30.02,39.63,7.52,1.76,0.1,0.76,0,19.42,10.14,82.57,14.57,0.63,1.19,0.237930133,7.753867667,19.46666667,1,0.19
J08,I,I,8.55,5115,623.33,2.35,0.12,19.58333333,5.03,4.87,9.89,50.83,49.17,65.41,49.51,33.75,NA,14.28,6.09,0.25,0.1,0,27.92,20.72,75.03,23.32,1.58,0.1,0.163493973,7.149838333,17.36666667,0,0.1
J10,M,I,9.03,2754,761,1.63,0.08,20.375,4.41,6.74,11.15,39.59,60.41,49.92,53.57,43.06,52.43,13.18,0.1,0.1,1.8,2.1,24.48,17.28,70.15,33.87,1.89,0.19,0.275405857,14.09114367,34.33333333,0,0.19
J11,M,I,9.74,5567,530.67,1.67,0.11,15.18181818,4.05,11.6,15.65,25.89,74.11,43.36,60.29,35.12,49.17,3.91,0,0.71,3.35,0,36.28,7.97,44.07,57.59,2,2.94,0.21389908,11.77210467,28.26666667,2.33,0.61
J12,M,M,12.79,6830.33,752.67,2.39,0.12,19.91666667,5.71,5.99,11.7,48.82,51.18,42.82,52.3,28.17,41.84,6.52,0.49,0.4,2.59,0,28.05,9.99,43,54.77,0,0.18,0.298472973,13.277506,32.43333333,0,0.18
J13,M,M,8.62,3670,737.33,1.9,0.08,23.75,4.16,4.49,8.65,48.1,51.9,48.61,51.38,28.97,48.62,6.41,3,0.16,2.54,1.2,23.12,13.31,24.04,72.37,0.1,15.04,0.217637747,10.73040533,25.7,9.25,5.79
J14,M,M,19.99,5150,930.33,1.31,0.08,16.375,3.37,10.1,13.48,25.02,74.98,30.32,NA,15.37,40.04,0,0,1.1,4.34,1,24.3,6.44,52.28,55.69,2.55,0.77,0.093947727,3.611670667,9.133333333,0,0.77
J16,C,C,8.79,5067,645.33,2.54,0.13,19.53846154,5.15,5.24,10.39,49.55,50.45,36.93,38.08,30.34,53.36,3.95,0,0.1,3.82,8.45,0,16.32,5.73,90.8,0,0.1,0.749111857,27.07353433,67.2,0,0.1
J18,C,C,7.59,3209.67,778.33,1.77,0.1,17.7,4.47,5.61,10.08,44.33,55.67,32.41,NA,30.02,50.27,1.72,0.01,0.12,4.17,5.53,0,11.55,15.47,82.39,0,4.5,0.364405793,14.263918,35.4,3.06,1.44
J22,C,C,8.18,3317.33,759.67,1.63,0.1,16.3,4.25,4.12,8.36,50.77,49.23,36.81,23.18,19.36,38.12,4.52,0,0.1,3.11,3.89,0,11.61,18.77,81.53,0,0.1,1.382999567,37.09884933,90.63333333,0,0.1
J23,C,C,7.66,5451.67,933.33,2.05,0.11,18.63636364,4.81,5.24,10.05,47.88,52.12,32.94,NA,15.43,27.46,1.05,0.1,0,4.03,2.72,0,7.9,3.48,96.48,0,15.1,0.401368667,9.839789333,23.9,15,0.1
J24,C,C,8.61,3780,1091.67,1.28,0.08,16,3.71,7.11,10.82,34.28,65.72,39.18,NA,17.87,27.85,0,0,0.21,4.37,2.57,1.35,7.15,34.1,64.17,0,1.59,0.65445705,15.665428,38.1,1.33,0.26
J25,D,D,8.96,4037.33,525,2.77,0.13,21.30769231,4.51,7.11,11.62,38.83,61.17,38.37,42.15,30.91,59.01,2.71,0,0,2.27,9.33,0,14.31,4.56,42.64,0,52,0.22858909,8.880798,21.83333333,3.43,48.57
J26,D,D,10.02,3627.33,839.67,1.71,0.09,19,7.24,8.98,16.22,44.63,55.37,50.22,31.93,15.76,27.44,2.03,0,0,2.88,4.67,0,9.57,48.57,49,0,0.1,1.015349133,25.08033233,61.93333333,0,0.1
J27,D,D,8.95,3129,826,1.45,0.08,18.125,6.68,4.12,10.8,61.87,38.13,64.2,30.75,15.01,29.61,9.23,0,0.23,2.23,4.69,0,16.37,42.63,51.3,2,4.77,0.703263533,15.94132067,38.06666667,4.67,0.1
J28,D,D,8.13,3650,892.67,1.25,0.08,15.625,6.07,7.86,13.93,43.58,56.42,53.72,NA,13.3,29.13,0,0,0.13,3.83,7.46,0,11.42,38.23,57.63,0.55,0.71,1.493856267,25.52520967,64.3,0,0.71
