"","Plot_Tran","Litter.mean","Bare.mean","Crypto.mean","Rock.mean","Dung.mean","FirstYearSeedlingDensity.mean","BRTE_A.mean","VUBR_A.mean","ELCA_A.mean","Inv_AG_A.mean","ERCI_A.mean","LASE_A.mean","DESO_A.mean","SATR_A.mean","SIAL_A.mean","LEPE_A.mean","UJ1_A.mean","CETE_A.mean","ALMI_A.mean","TRDU_A.mean","Inv_AF_A.mean","POSE_A.mean","ELEL_A.mean","PASM_A.mean","ORHY_A.mean","CARX_A.mean","ACTH_A.mean","Nat_PG_A.mean","TEGL_A.mean","ERNA_A.mean","GRSP_A.mean","CHVI_A.mean","ARTR_A.mean","Shrub_A.mean","UNK9_A.mean","DEPI_A.mean","UJ10_A.mean","UJ13_A.mean","UJ8_A.mean","Nat_AF_A.mean","PHDI_A.mean","UNKJ4_A.mean","UJ11_A.mean","UJ12_A.mean","UJ14_A.mean","UJ4_A.mean","CABR_A.mean","UJ9_A.mean","UJ7_A.mean","CROC_A.mean","DICA_A.mean","AMIN_A.mean","UJ3_A.mean","UNK11_A.mean","UJ5_A.mean","Nat_PF_A.mean"
"1","J01A",55.4545454545455,39.9090909090909,1.5,0.863636363636364,0.25,0.0909090909090909,7.36363636363636,0.0681818181818182,0,7.43181818181818,0,0,0,0,0,0,0,0,0,0,0,4.20454545454545,0,0,0,0,0,4.20454545454545,0,0,0,0,12.3636363636364,12.3636363636364,0.0227272727272727,0.0454545454545455,0,0,0.0227272727272727,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","J01B",57.0454545454545,34.8636363636364,4,1.22727272727273,0.409090909090909,0,7.81818181818182,0.0227272727272727,0,7.84090909090909,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,3.81818181818182,0,0,0,0,1.13636363636364,4.95454545454545,0,0,0,0,10.8181818181818,10.8181818181818,0,0.0454545454545455,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","J01C",62.7727272727273,32.1363636363636,1.29545454545455,1.04545454545455,0.0909090909090909,0,10.7272727272727,0.0454545454545455,0,10.7727272727273,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,3.95454545454545,0,0,0,0,0.318181818181818,4.27272727272727,0,0,0,0,15.7272727272727,15.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0.0454545454545455
"4","J02A",25.7727272727273,71.1363636363636,0.318181818181818,1.18181818181818,0.25,0,1.09090909090909,0,0,1.09090909090909,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,3.97727272727273,0,0,0,0,0,3.97727272727273,0,0,0,0,9.79545454545454,9.79545454545454,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","J02B",34.6818181818182,62.6818181818182,0.204545454545455,0.909090909090909,0.340909090909091,0,2.20454545454545,0,0,2.20454545454545,0,0,0,0,0,0,0,0,0,0,0,4.63636363636364,0,0,0,0,0,4.63636363636364,0,0,0,0,8,8,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","J02C",30.4285714285714,65.6190476190476,0.477272727272727,1,0.340909090909091,0,1.29545454545455,0,0,1.29545454545455,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,5.54545454545455,0.0454545454545455,0,0,0,0,5.59090909090909,0,0,0,0,5.09090909090909,5.09090909090909,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","J03A",24,67.2272727272727,1.45454545454545,1.5,2.43181818181818,0,0.840909090909091,0,0,0.840909090909091,0,0,0,0,0,0,0,0.204545454545455,0.0227272727272727,0,0.227272727272727,6.11363636363636,0.136363636363636,0,0,0,0,6.25,0,0,0,0,2.45454545454545,2.45454545454545,0.136363636363636,0,0,0,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","J03B",33.9545454545455,60.4090909090909,1.45454545454545,1.65909090909091,0.431818181818182,0.0454545454545455,0.477272727272727,0,0,0.477272727272727,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,5.68181818181818,0.159090909090909,0,0,0,0,5.84090909090909,0,0,0,0,7.38636363636364,7.38636363636364,0.0227272727272727,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0.0227272727272727
"9","J03C",19.7727272727273,74.9545454545455,0.840909090909091,1.43181818181818,0.386363636363636,0,0.613636363636364,0,0,0.613636363636364,0,0,0,0,0,0,0,0.0681818181818182,0,0,0.0681818181818182,5.68181818181818,1.56818181818182,0,0,0,0,7.25,0,0,0,0,6.72727272727273,6.72727272727273,0.0227272727272727,0.0227272727272727,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","J06A",47.1818181818182,40.5909090909091,6.40909090909091,1.63636363636364,0.522727272727273,0.454545454545455,0.431818181818182,0.0681818181818182,0,0.5,0.522727272727273,0,0,0,0,0,0,1.20454545454545,0,0,1.72727272727273,5.18181818181818,1.86363636363636,0,0,0,0,7.04545454545455,0,0,0,2.5,19.2272727272727,21.7272727272727,0.0454545454545455,0.0227272727272727,0,0,0,0.0681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","J06B",43.6363636363636,37.4545454545455,12.6363636363636,2.22727272727273,0.5,0.136363636363636,0.295454545454545,0.0227272727272727,0,0.318181818181818,1.13636363636364,0,0,0,0,0,0,0.727272727272727,0,0,1.86363636363636,5.43181818181818,1.29545454545455,0,0,0,0,6.72727272727273,0,0,0,0.0909090909090909,21.3181818181818,21.4090909090909,0,0,0,0,0,0,0.136363636363636,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.159090909090909
"12","J06C",29.4090909090909,51.6590909090909,12.2045454545455,3.11363636363636,1.75,0.272727272727273,0.136363636363636,0.0454545454545455,0,0.181818181818182,0.159090909090909,0.0227272727272727,0,0,0,0,0,1.77272727272727,0,0,1.95454545454545,5.25,1.75,0,0,0,0,7,0,0,0,0.909090909090909,15.7272727272727,16.6363636363636,0.0681818181818182,0.0227272727272727,0,0,0,0.0909090909090909,0.0454545454545455,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0.0909090909090909
"13","J07A",41.1363636363636,50.5454545454545,2.88636363636364,2.04545454545455,0.431818181818182,5.95454545454545,0.159090909090909,0,0,0.159090909090909,0,0,0,0,0,0,0,0.136363636363636,0,0,0.136363636363636,7.43181818181818,0.363636363636364,0,0,0,0,7.79545454545455,0,0,0,0,21.3863636363636,21.3863636363636,0,0,0,0,0,0,0.272727272727273,0,0.272727272727273,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0.590909090909091
"14","J07B",33.5454545454545,58.1818181818182,2.56818181818182,3.38636363636364,0.272727272727273,4.13636363636364,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0.0454545454545455,6.93181818181818,0.181818181818182,0,0,0,0,7.11363636363636,0,0,0,0,12.75,12.75,0,0,0,0,0,0,0.545454545454545,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0.681818181818182
"15","J07C",35.2727272727273,57.7727272727273,0.863636363636364,3,2.04545454545455,4.40909090909091,0.0454545454545455,0,0,0.0454545454545455,0,0,0,0,0,0,0,0.0454545454545455,0,0,0.0454545454545455,7.04545454545455,0.590909090909091,0,0.0454545454545455,0,0,7.68181818181818,0,0,0,0,18.6590909090909,18.6590909090909,0,0,0,0,0,0,0.0681818181818182,0,0.0681818181818182,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0.181818181818182
"16","J08A",32.9545454545455,55.2272727272727,7.68181818181818,1.59090909090909,0.454545454545455,0,0.227272727272727,0,0,0.227272727272727,0,0,0,0,0,0,0,1.09090909090909,0,0,1.09090909090909,7.84090909090909,0.0227272727272727,0,0,0,0,7.86363636363636,0,0,0,0,19.75,19.75,0.545454545454545,0.0681818181818182,0.0227272727272727,0.0227272727272727,0,0.659090909090909,0.0227272727272727,0,0.272727272727273,0.204545454545455,0,0,0,0,0,0,0,0,0,0,0,0.5
"17","J08B",57.9090909090909,28.6363636363636,6.86363636363636,0.727272727272727,2.59090909090909,0,0.0909090909090909,0.0454545454545455,0,0.136363636363636,0,0,0,0,0,0,0,1.40909090909091,0,0,1.40909090909091,10.4090909090909,0.272727272727273,0,0,0,0,10.6818181818182,0,0,0,0,19.2272727272727,19.2272727272727,0.25,0.136363636363636,0,0,0,0.386363636363636,0.136363636363636,0,0.909090909090909,0.113636363636364,0,0,0,0,0,0,0,0,0,0,0,1.15909090909091
"18","J08C",46.0909090909091,40.5454545454545,8.59090909090909,1.47727272727273,0.681818181818182,0.0909090909090909,0.25,0.295454545454545,0,0.545454545454545,0,0,0,0,0,0,0,0.727272727272727,0,0,0.727272727272727,7.11363636363636,0.227272727272727,0,0,0,0,7.34090909090909,0,0,0,0,18.1818181818182,18.1818181818182,0.113636363636364,0.409090909090909,0,0,0,0.522727272727273,0.0227272727272727,0,1.47727272727273,0.159090909090909,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,1.68181818181818
"19","J10A",42.2727272727273,48.1363636363636,4.93181818181818,1.09090909090909,0.431818181818182,2.63636363636364,2.34090909090909,0.0227272727272727,0,2.36363636363636,0,0,0,0,0,0,0,0.0909090909090909,0,0.0227272727272727,0.113636363636364,7.15909090909091,0.136363636363636,0,0,0,0,7.29545454545455,2.09090909090909,0,0,0,11.4545454545455,13.5454545454545,0.0454545454545455,0.181818181818182,0,0,0,0.227272727272727,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727
"20","J10B",45.6818181818182,47.5,2.15909090909091,1.15909090909091,0.409090909090909,1.18181818181818,2.97727272727273,0,0,2.97727272727273,0.159090909090909,0,0,0,0,0,0,0.0909090909090909,0.0454545454545455,0,0.295454545454545,4.36363636363636,0.0227272727272727,0,0,0,0,4.38636363636364,0.318181818181818,0,0,0,11.7954545454545,12.1136363636364,0.0681818181818182,0.136363636363636,0,0,0,0.204545454545455,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182
"21","J10C",19.7727272727273,73.1363636363636,1.63636363636364,2.06818181818182,0.704545454545455,3.13636363636364,2.36363636363636,0.136363636363636,0,2.5,0.0909090909090909,0,0,0,0,0,0,0.295454545454545,0,0,0.386363636363636,5.52272727272727,0,0,0,0,0,5.52272727272727,0,0,0.545454545454545,0,3.36363636363636,3.90909090909091,0.0909090909090909,0.227272727272727,0,0,0,0.318181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0.0454545454545455
"22","J11A",35.1904761904762,60.3333333333333,0.523809523809524,1.14285714285714,1.9047619047619,0.818181818181818,0.5,0.0681818181818182,0,0.568181818181818,0.204545454545455,0,0,0,0,0,0,2.54545454545455,0,0,2.75,2.54545454545455,0.136363636363636,0,0,0,0,2.68181818181818,0,0,0,0,9.04545454545454,9.04545454545454,0.0227272727272727,0.0909090909090909,0,0,0,0.113636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","J11B",25.0909090909091,67.9545454545455,0.931818181818182,3.86363636363636,1.25,1.86363636363636,0.340909090909091,0.0454545454545455,0,0.386363636363636,0.0227272727272727,0,0,0,0,0,0,2.22727272727273,0.0227272727272727,0,2.27272727272727,2.27272727272727,0.0227272727272727,0,0,0,0,2.29545454545455,0,0,0,0,9.06818181818182,9.06818181818182,0.136363636363636,0.0227272727272727,0,0,0,0.159090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","J11C",51.9545454545455,37.8636363636364,1.75,4.75,0.840909090909091,8.5,0.318181818181818,0.0681818181818182,0,0.386363636363636,0,0,0,0,0,0,0,2.11363636363636,0,0,2.11363636363636,4.04545454545455,0.0909090909090909,0,0,0,0,4.13636363636364,0,0,0,0,22.2045454545455,22.2045454545455,0.181818181818182,0.0227272727272727,0,0,0,0.204545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","J12A",63.6190476190476,29.6666666666667,0.0714285714285714,2.83333333333333,0.30952380952381,0,10.6363636363636,0.431818181818182,0,11.0681818181818,0,0,0,0,0,0,0,0.5,0,0,0.5,6.13636363636364,0.0454545454545455,0.0681818181818182,0,0,0,6.25,0,0,0,0,6.95454545454545,6.95454545454545,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909
"26","J12B",69.9545454545455,22.7272727272727,0.227272727272727,3,0.181818181818182,0,17.5,0,0,17.5,0,0,0,0,0,0,0,0.818181818181818,0.181818181818182,0,1,4.52272727272727,0,0.204545454545455,0,0,0,4.72727272727273,0,0,0,0,10.9090909090909,10.9090909090909,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909
"27","J12C",51.2727272727273,39.2272727272727,0,5.15909090909091,0.295454545454545,0,11.8181818181818,0,0,11.8181818181818,0,0,0,0,0,0,0,1.20454545454545,0,0,1.20454545454545,4.34090909090909,0.204545454545455,0.0227272727272727,0,0,0,4.56818181818182,0,0,0,0,13.3181818181818,13.3181818181818,0.0909090909090909,0.0227272727272727,0.0227272727272727,0,0,0.136363636363636,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727
"28","J13A",68.6363636363636,24.2272727272727,0.318181818181818,2.95454545454545,0.0227272727272727,0,7.38636363636364,0.272727272727273,0,7.65909090909091,0.659090909090909,0,0,0,0.136363636363636,0,0,0,0.0454545454545455,0,0.840909090909091,1.95454545454545,0,0,0,0,0,1.95454545454545,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","J13B",61.0454545454545,25.1363636363636,0.386363636363636,9.72727272727273,0,0,6.95454545454545,0.159090909090909,0,7.11363636363636,1.65909090909091,0,0,0,0,0,0,0,0.204545454545455,0,1.86363636363636,3.02272727272727,0,0,0,0,0,3.02272727272727,0,0,0,0,7.54545454545455,7.54545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","J13C",52,30.8636363636364,2.04545454545455,10.0227272727273,0.113636363636364,0,6.79545454545455,0.0909090909090909,0,6.88636363636364,1.09090909090909,0,0,0,0,0,0,0,0.159090909090909,0,1.25,4.40909090909091,0,0,0,0,0,4.40909090909091,0,0,0,0,11.1136363636364,11.1136363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0.0454545454545455,0,0.0681818181818182
"31","J14A",51.7142857142857,39.1428571428571,4.09523809523809,2.54761904761905,0.30952380952381,0,8.68181818181818,0,0,8.68181818181818,0,0,0,0,0,0.0681818181818182,0,0,0,0,0.0681818181818182,1,0.0909090909090909,0,0,0,0,1.09090909090909,0,0,2.34090909090909,0,2.04545454545455,4.38636363636364,0,0.136363636363636,0,0,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","J14B",52.6818181818182,30.9545454545455,7.13636363636364,5.84090909090909,0.272727272727273,0,8.31818181818182,0,0,8.31818181818182,0,0,0,0,0,0,0,0,0,0,0,9.22727272727273,0,0,0,0,0,9.22727272727273,0,0,9.81818181818182,0,0,9.81818181818182,0,0.0227272727272727,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","J14C",32.9090909090909,43.3181818181818,20.9545454545455,0.818181818181818,0.636363636363636,0,7.18181818181818,0,0,7.18181818181818,0,0,0,0,0,0,0,0,0,0,0,5.40909090909091,0,0,0,0,0,5.40909090909091,0.181818181818182,0,6.27272727272727,0,0,6.45454545454545,0,0.0227272727272727,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","J16A",92.8181818181818,5.70454545454545,0,0.0227272727272727,0,0,7.81818181818182,0,0,7.81818181818182,10.0909090909091,0,0,0,0.681818181818182,0,0,0,0,0,10.7727272727273,0.863636363636364,0,0,0,0,0,0.863636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","J16B",91.1363636363636,5.54545454545455,0,0.113636363636364,0.431818181818182,0,10.6818181818182,0,0,10.6818181818182,9.27272727272727,0,0,0,0.227272727272727,0.727272727272727,0,0,0,0,10.2272727272727,2.13636363636364,0,0,0,0,0,2.13636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0.0227272727272727
"36","J16C",90.1818181818182,7.31818181818182,0,0.0454545454545455,0.0454545454545455,0,9.18181818181818,0,0,9.18181818181818,10.1363636363636,0,0,0,0.5,0.0909090909090909,0,0,0,0,10.7272727272727,1.45454545454545,0,0,0,0,0,1.45454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","J18A",94.5,0.727272727272727,0.0227272727272727,0.0909090909090909,0.0681818181818182,0,13.8636363636364,0.318181818181818,0,14.1818181818182,19.8636363636364,0,0,0,0.227272727272727,0.0454545454545455,0,0,0,0,20.1363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","J18B",93.4761904761905,2.42857142857143,0,0.19047619047619,0,0,15.4545454545455,0,0,15.4545454545455,7.63636363636364,0.0227272727272727,0,0,0.295454545454545,0,0,0,0,0,7.95454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","J18C",93.7272727272727,2.56818181818182,0,0.136363636363636,0.0454545454545455,0,11.7272727272727,0,0,11.7272727272727,13.5227272727273,0.0227272727272727,0,0,0.113636363636364,0.0909090909090909,0,0,0,0,13.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","J22A",76.5,20.2727272727273,0.0681818181818182,0.0681818181818182,0.75,0,11.9090909090909,0,0,11.9090909090909,0,0,0,0,5.68181818181818,0,0,0,0,0,5.68181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","J22B",79.5909090909091,15.3636363636364,0.409090909090909,0.0227272727272727,2.18181818181818,0,10.5909090909091,0,0,10.5909090909091,0,0,0,0,4.84090909090909,0,0,0,0,0,4.84090909090909,0.136363636363636,0,0,0,0,0,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","J22C",78.1818181818182,18.9545454545455,0,0.0681818181818182,1.31818181818182,0,9.63636363636364,0,0,9.63636363636364,0,0,0,0,4.20454545454545,0,0,0,0,0,4.20454545454545,0,0,0,0,0.0227272727272727,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","J23A",92.6363636363636,2.25,0,1.06818181818182,0.136363636363636,0,8.18181818181818,0,0,8.18181818181818,0,0,0,0,0.159090909090909,0,0,0,0,0,0.159090909090909,1.02272727272727,0,0,0,0,0,1.02272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","J23B",91.3333333333333,2.78571428571429,0,1.14285714285714,0,0,11.9545454545455,0,0,11.9545454545455,0.0909090909090909,0,0,0,0.0909090909090909,0,0,0,0,0,0.181818181818182,0.159090909090909,1.31818181818182,0,0,0,0,1.47727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","J23C",90,4.61363636363636,0,0.840909090909091,0.772727272727273,0,11,0,0,11,0,0,0,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0.681818181818182,0,0,0,0,0,0.681818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0.0454545454545455
"46","J24A",37.8181818181818,55.0909090909091,0,5.77272727272727,0.0909090909090909,0,6.27272727272727,0,0,6.27272727272727,0,0,0,0,1.97727272727273,0,0,0,0,0,1.97727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0.0909090909090909
"47","J24B",48.9047619047619,48.4285714285714,0,0.204545454545455,0.0238095238095238,0,9.04545454545454,0,0,9.04545454545454,0,0,0,0,3.65909090909091,0,0,0,0,0,3.65909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","J24C",56.0454545454545,40.8181818181818,0,0.727272727272727,0.136363636363636,0,8.95454545454546,0,0,8.95454545454546,0,0,0,0,2.79545454545455,0,0,0.0227272727272727,0,0,2.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","J25A",56.7272727272727,39.1363636363636,0.295454545454545,0.5,0.431818181818182,2.27272727272727,7,0.727272727272727,0,7.72727272727273,0,0,0.0909090909090909,0,2.88636363636364,10.6363636363636,0,0.0227272727272727,0,0,13.6363636363636,6.93181818181818,0.204545454545455,0,0,0,0,7.13636363636364,0,2.5,0,0,0.681818181818182,3.18181818181818,0,0.0227272727272727,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","J25B",61.3181818181818,34.2727272727273,0.0454545454545455,0.568181818181818,0.409090909090909,0,7.77272727272727,0.272727272727273,0,8.04545454545454,0.0227272727272727,0,0,0,1.36363636363636,11.2272727272727,0,0.0227272727272727,0,0,12.6363636363636,4.97727272727273,0.181818181818182,0,0,0,0,5.15909090909091,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","J25C",56.4545454545455,38.4090909090909,0,0.363636363636364,0.818181818181818,0.0454545454545455,11.7272727272727,0.204545454545455,0,11.9318181818182,0,0,0,0,1.90909090909091,4.97727272727273,0,0.0681818181818182,0,0,6.95454545454545,5.09090909090909,0.636363636363636,0,0,0,0,5.72727272727273,0,0.590909090909091,0,0,3.97727272727273,4.56818181818182,0,0.0454545454545455,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0.136363636363636,0,0,0,0,0.136363636363636
"52","J26A",76.6818181818182,21.4545454545455,0,1.02272727272727,0.204545454545455,0,5.34090909090909,0,0,5.34090909090909,0,0,0,0,0.204545454545455,11.4545454545455,0,3.63636363636364,0,0,15.2954545454545,0.0454545454545455,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","J26B",65.2727272727273,31.0227272727273,0,2.38636363636364,0.477272727272727,0,6.47727272727273,0,0,6.47727272727273,0,0,0,0,0.0227272727272727,16,0,3.77272727272727,0,0,19.7954545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","J26C",76.5909090909091,20.9090909090909,0,1.70454545454545,0,0,6.31818181818182,0.0227272727272727,0,6.34090909090909,0,0,0,0,0.0227272727272727,13.8636363636364,0,3.84090909090909,0,0,17.7272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","J27A",75.8636363636364,14.3181818181818,0.0454545454545455,7.54545454545455,0.0454545454545455,0,4.13636363636364,0,0,4.13636363636364,30.1363636363636,0,0,0,0.0227272727272727,0,0,0,0.409090909090909,0,30.5681818181818,1.27272727272727,0,0.227272727272727,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","J27B",79.6818181818182,14.3636363636364,0.0227272727272727,2.86363636363636,0.522727272727273,0,7.84090909090909,0,0,7.84090909090909,12.3863636363636,0,0,0,0,0,0,0,0.363636363636364,0,12.75,0.954545454545455,0,0.227272727272727,0,0,0,1.18181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","J27C",73.3181818181818,22.5909090909091,0.0227272727272727,2.75,0.0227272727272727,0,4.27272727272727,0,0,4.27272727272727,18,0,0,0,0,0,0,0,0.227272727272727,0,18.2272727272727,0.795454545454545,0,0.0454545454545455,0,0,0,0.840909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","J28A",77.5,18.9772727272727,0,0.0227272727272727,0.954545454545455,0,6.90476190476191,0,0.136363636363636,6.72727272727273,0,0,0,0.159090909090909,0.113636363636364,0.976190476190476,0.0681818181818182,0.0909090909090909,0,0,1.36363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","J28B",66.4090909090909,31.5227272727273,0,0.0909090909090909,0.409090909090909,0,6.04545454545455,0,0.0454545454545455,6.09090909090909,0,0,0.0454545454545455,0.454545454545455,0.204545454545455,1.02272727272727,0.113636363636364,0,0,0,1.84090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","J28C",74.3636363636364,23.5,0,0.0227272727272727,0.431818181818182,0,6.86363636363636,0,0.0681818181818182,6.93181818181818,0,0,0.272727272727273,0.295454545454545,0.113636363636364,1.31818181818182,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
