Plot_TP,TN_BRTE,TC_BRTE,C:N_BRTE,TN_LIT,TC_LIT,C:N_LIT,TN_OTHER,TC_OTHER,C:N_OTHER,TN_POSE,TC_POSE,C:N_POSE,SurSo4_SOIL,Ca_SOIL,Mg_SOIL,SOIL_TC,SOIL_TN,C:N_SOIL,BDFieldWeight(g),BDDryWeight(g),soilMoisture,bulkDensity(g/cm3),NO3-N (ppm),NH4-N (ppm),Sam Date,Ext Date(0or3),net mineralization,net netrification
J01A,0.77,42.81,55.5974026,1.43,27.27,19.06993007,1.07,41.93,39.18691589,0.49,44.09,89.97959184,4.092,2828,716,1.24,0.09,13.77777778,230.01,190.76,0.1706447546,1.619217384,0.15,0.00,3/19/16,0,0.12,0.12
J01B,0.52,43.49,83.63461538,1.3,31.32,24.09230769,0.81,42.56,52.54320988,0.56,44.09,78.73214286,3.24,3065,733,1.44,0.1,14.4,168.95,142.58,0.156081681,1.210253798,0.16,0.00,3/19/16,0,0.58,0.46
J01C,0.64,43.27,67.609375,0.7,41.19,58.84285714,0.7,41.38,59.11428571,0.49,43.63,89.04081633,5.576,3066,699,1.37,0.09,15.22222222,231.24,153.82,0.3348036672,1.305661659,0.17,0.00,3/19/16,0,0.09,0.09
J02A,0.86,42.08,48.93023256,1.39,28.39,20.42446043,NA,NA,NA,0.55,44.24,80.43636364,3.479,2875,732,1.67,0.11,15.18181818,184.90,165.08,0.1071930773,1.401239284,0.18,0.00,3/18/16,0,0.26,0.26
J02B,0.59,42.11,71.37288136,1.15,25.22,21.93043478,NA,NA,NA,0.49,43.89,89.57142857,1.909,2658,711,1.35,0.1,13.5,173.32,150.07,0.1341449342,1.273830744,0.41,0.00,3/18/16,3,NA,NA
J02C,0.62,42.93,69.24193548,1.1,27.72,25.2,0.62,40.9,65.96774194,0.49,43.85,89.48979592,2.079,2941,811,1.45,0.1,14.5,186.64,159.51,0.1453600514,1.353959766,0.17,0.00,3/18/16,0,0.18,0.18
J03A,0.82,43.21,52.69512195,1.34,36.24,27.04477612,1.18,40.13,34.00847458,0.55,44.7,81.27272727,2.34,3318,776,1.66,0.11,15.09090909,156.20,149.49,0.04295774648,1.268907563,0.19,0.00,3/18/16,0,0.28,0.28
J03B,0.71,42.99,60.54929577,0.91,33.29,36.58241758,NA,NA,NA,0.48,44.87,93.47916667,2.825,3426,772,1.56,0.11,14.18181818,187.67,157.99,0.1581499441,1.341057635,0.19,0.00,3/18/16,0,0.31,0.31
J03C,0.79,43.62,55.21518987,0.97,26.73,27.55670103,0.96,41.76,43.5,0.44,44.39,100.8863636,3.519,3558,778,1.92,0.12,16,171.13,139.73,0.1834862385,1.186062304,0.17,0.00,3/18/16,0,0.34,0.34
J06A,0.56,43.3,77.32142857,1.06,27.43,25.87735849,0.78,41.61,53.34615385,0.59,45.12,76.47457627,3.375,5461,714,1.82,0.12,15.16666667,191.39,157.72,0.175923507,1.338765809,0.17,0.00,3/20/16,0,0.2,0.2
J06B,0.53,43.03,81.18867925,1.08,27.37,25.34259259,0.84,42.04,50.04761905,0.54,44.97,83.27777778,2.79,6428,711,2.16,0.13,16.61538462,161.38,131.34,0.1861445037,1.114845938,0.13,0.00,3/20/16,0,0.25,0.25
J06C,0.68,40.25,59.19117647,1.12,28.2,25.17857143,0.8,40.86,51.075,0.44,44.99,102.25,3.009,5295,682,1.94,0.13,14.92307692,158.72,130.99,0.1747101815,1.111875053,0.13,0.00,3/20/16,0,0.26,0.26
J07A,0.48,41.28,86,1.05,29.43,28.02857143,0.68,40.82,60.02941176,0.46,44.15,95.97826087,3.185,2898,685,1.49,0.1,14.9,183.38,158.90,0.1334932926,1.348781937,0.11,0.00,3/22/16,0,0.27,0.27
J07B,0.88,42.18,47.93181818,0.87,24.2,27.81609195,0.62,41.27,66.56451613,0.56,44.41,79.30357143,2.935,3310,689,1.32,0.1,13.2,188.70,166.07,0.1199258082,1.409642645,0.10,0.00,3/22/16,0,0.31,0.31
J07C,0.65,43.14,66.36923077,NA,NA,NA,0.96,40.24,41.91666667,0.37,44.72,120.8648649,2.26,2987,666,1.48,0.1,14.8,170.86,195.64,-0.1450310195,1.660640014,0.00,0.00,3/22/16,0,0.38,0.38
J08A,0.67,40.68,60.71641791,1.24,34.15,27.54032258,0.92,39.81,43.27173913,0.4,44.65,111.625,4.276,4228,608,1.98,0.13,15.23076923,152.05,126.98,0.1648799737,1.077837195,0.00,0.00,3/22/16,0,0.47,0.47
J08B,0.58,42.96,74.06896552,1.21,25.88,21.38842975,0.62,43.41,70.01612903,1.08,24.56,22.74074074,5.174,4681,562,2.17,0.13,16.69230769,165.21,141.15,0.1456328309,1.19811561,0.13,0.16,3/22/16,0,0.42,0.32
J08C,0.59,41.48,70.30508475,NA,NA,NA,0.89,41.18,46.26966292,0.44,44.17,100.3863636,4.298,5112,571,2.18,0.14,15.57142857,145.70,124.46,0.1457789979,1.056446821,0.00,0.00,3/22/16,0,0.43,0.43
J10A,0.79,41.55,52.59493671,1.05,30.57,29.11428571,0.79,39.67,50.21518987,0.52,44.16,84.92307692,3.298,2486,779,1.03,0.08,12.875,206.00,169.93,0.1750970874,1.442407266,0.00,0.00,3/21/16,0,0.23,0.23
J10B,0.54,42.74,79.14814815,1.07,29.78,27.8317757,0.73,42.66,58.43835616,0.77,43.58,56.5974026,3,2450,688,1.1,0.08,13.75,206.92,185.77,0.1022134158,1.576861047,0.00,0.00,3/21/16,0,0.22,0.22
J10C,0.62,42.88,69.16129032,0.95,30.14,31.72631579,0.77,37.17,48.27272727,0.53,43.05,81.22641509,3,2488,732,1.19,0.08,14.875,227.87,183.45,0.194935709,1.557168322,0.12,0.28,3/21/16,0,0.23,0.15
J11A,0.54,42.15,78.05555556,1.27,26.16,20.5984252,0.79,35.49,44.92405063,0.53,43.28,81.66037736,4.112,2831,874,1.13,0.09,12.55555556,207.66,165.58,0.202638929,1.405483405,0.16,1.41,3/21/16,0,0.09,0.21
J11B,0.73,42.04,57.5890411,1.22,31.92,26.16393443,0.8,28,35,0.64,43.42,67.84375,5.118,2446,708,1.09,0.08,13.625,215.93,180.89,0.1622748113,1.535438418,0.11,0.00,3/21/16,0,0.16,0.16
J11C,0.72,41.55,57.70833333,1.05,32.66,31.1047619,0.77,37.93,49.25974026,0.69,43.06,62.4057971,4.385,2964,688,1.23,0.08,15.375,206.16,172.12,0.1651144742,1.46099652,0.10,0.00,3/21/16,0,0.14,0.14
J12A,0.42,43.67,103.9761905,1.05,32.32,30.78095238,0.83,41.6,50.12048193,0.48,43.91,91.47916667,2.97,3272,802,1.47,0.09,16.33333333,201.09,180.61,0.101844945,1.53306171,0.11,0.00,3/24/16,0,0.25,0.25
J12B,0.56,42.62,76.10714286,1.31,32.85,25.07633588,0.96,40.58,42.27083333,0.35,44.54,127.2571429,5.04,4987,741,1.67,0.1,16.7,180.18,153.31,0.1491286491,1.301332654,0.10,0.00,3/24/16,0,0.28,0.28
J12C,0.65,42.6,65.53846154,1.32,31.42,23.8030303,0.54,43.13,79.87037037,0.32,44.47,138.96875,4.716,4762,766,1.73,0.1,17.3,194.64,171.08,0.1210439786,1.452168746,0.15,0.00,3/24/16,0,0.28,0.28
J13A,0.58,41.47,71.5,1.55,31.41,20.26451613,0.42,42.38,100.9047619,0.46,43.71,95.02173913,3.042,2861,609,1.42,0.08,17.75,201.93,170.69,0.1547070767,1.448858331,0.11,0.00,3/21/16,0,0.1,0.1
J13B,0.6,41.9,69.83333333,1.07,34.63,32.36448598,0.51,40.52,79.45098039,0.59,43.3,73.38983051,3.179,2648,577,1.32,0.08,16.5,177.50,150.45,0.1523943662,1.277056277,0.11,0.00,3/21/16,0,0.15,0.15
J13C,0.61,42.3,69.3442623,1.34,33.71,25.15671642,0.86,44.57,51.8255814,0.69,43.37,62.85507246,2.841,2995,659,1.63,0.09,18.11111111,144.78,121.66,0.159690565,1.032679739,0.11,0.00,3/21/16,0,0.14,0.14
J14A,0.8,43.89,54.8625,1.22,27.88,22.85245902,1.74,43.2,24.82758621,NA,NA,NA,6.388,3930,830,1,0.07,14.28571429,215.10,187.82,0.1268247327,1.594261947,0.38,0.41,3/20/16,0,0.15,0.24
J14B,0.66,43.83,66.40909091,1.26,31.57,25.05555556,NA,NA,NA,NA,NA,NA,4.099,7817,706,1.29,0.07,18.42857143,216.08,184.96,0.1440207331,1.56998557,0.21,0.00,3/20/16,0,0.14,0.14
J14C,0.73,43.82,60.02739726,1.04,38.03,36.56730769,NA,NA,NA,NA,NA,NA,4.795,11273,618,1.47,0.07,21,199.86,174.73,0.1257380166,1.483150836,0.34,0.00,3/20/16,0,0.15,0.15
J16A,0.33,43.23,131,1.17,36.52,31.21367521,1.31,43.13,32.92366412,0.64,42.46,66.34375,2.759,3066,735,1.17,0.08,14.625,225.68,185.45,0.1782612549,1.574144809,0.00,0.00,3/19/16,0,0.18,0.18
J16B,0.38,43.56,114.6315789,1.07,37.56,35.10280374,1.65,44.29,26.84242424,0.44,44.19,100.4318182,26.15,2843,731,1.13,0.08,14.125,216.19,174.89,0.1910356631,1.484508955,0.10,0.00,3/19/16,0,0.05,0.05
J16C,0.46,42.83,93.10869565,1.18,33.93,28.75423729,1.57,44.24,28.17834395,0.5,43.81,87.62,3.031,2665,672,1.24,0.09,13.77777778,223.60,180.11,0.1944991055,1.528817588,0.00,0.00,3/19/16,0,0.17,0.17
J18A,0.46,42.57,92.54347826,1.18,36.27,30.73728814,1.01,45.52,45.06930693,NA,NA,NA,1,2621,771,1.19,0.09,13.22222222,211.87,169.50,0.1999811205,1.438757321,0.00,0.00,3/21/16,0,0.15,0.15
J18B,0.51,40.11,78.64705882,1.11,32.28,29.08108108,1.06,45.32,42.75471698,NA,NA,NA,3.209,2802,779,1.15,0.09,12.77777778,191.62,153.51,0.1988832063,1.303030303,0.00,0.00,3/21/16,0,0.14,0.14
J18C,0.51,41.67,81.70588235,0.67,43,64.17910448,1.12,44.69,39.90178571,NA,NA,NA,2.249,2711,804,1.1,0.08,13.75,204.59,163.43,0.2011828535,1.387233681,0.00,0.00,3/21/16,0,0.13,0.13
J22A,0.92,42.72,46.43478261,0.7,41.01,58.58571429,1.32,45.01,34.09848485,0.76,42.21,55.53947368,4,3060,736,1.38,0.09,15.33333333,209.24,171.80,0.1789332824,1.458280282,0.36,0.70,3/19/16,0,-0.81,-0.11
J22B,1,42.78,42.78,1.14,35.99,31.57017544,1.91,45.53,23.83769634,1.04,43.38,41.71153846,3,3235,758,1.51,0.1,15.1,217.55,175.12,0.195035624,1.486461251,0.18,0.00,3/19/16,0,0.12,0.12
J22C,0.98,42.2,43.06122449,0.84,38.34,45.64285714,2.17,44.57,20.53917051,1.02,43.49,42.6372549,3.632,3131,724,1.39,0.09,15.44444444,195.15,172.92,0.1139123751,1.467787115,0.18,0.00,3/19/16,0,0.16,0.16
J23A,0.49,43.45,88.67346939,0.67,41.71,62.25373134,1.19,45.7,38.40336134,0.4,44.52,111.3,2.375,5915,848,2.06,0.11,18.72727273,185.02,163.45,0.1165819911,1.387403446,0.11,0.13,3/18/16,0,0.14,0.27
J23B,0.47,43.04,91.57446809,0.88,38.84,44.13636364,0.62,42.31,68.24193548,0.68,43.32,63.70588235,1.963,5591,857,1.71,0.1,17.1,188.34,165.34,0.122119571,1.403446227,0.10,0.00,3/18/16,0,0.18,0.18
J23C,0.44,43.53,98.93181818,1.14,27.74,24.33333333,0.92,38.64,42,0.44,44.27,100.6136364,2.004,5765,839,1.59,0.1,15.9,166.86,149.52,0.1039194534,1.26916221,0.29,0.00,3/18/16,3,NA,NA
J24A,0.98,42.71,43.58163265,0.92,24.38,26.5,2.36,46.37,19.64830508,NA,NA,NA,3.943,4701,785,1.03,0.07,14.71428571,167.78,137.90,0.1780903564,1.170528818,0.33,0.00,3/20/16,0,0.11,0.11
J24B,0.9,42.98,47.75555556,0.97,21.28,21.93814433,2.38,46.16,19.39495798,NA,NA,NA,3.222,4153,770,0.88,0.06,14.66666667,215.18,189.30,0.1202714007,1.606824548,0.32,0.00,3/20/16,0,0.12,0.12
J24C,1.07,42.86,40.05607477,0.83,18.07,21.77108434,2.43,45.71,18.81069959,NA,NA,NA,3.185,4059,809,0.81,0.06,13.5,185.85,164.10,0.1170298628,1.392920805,0.20,0.00,3/20/16,0,0.19,0.19
J25A,0.58,43.58,75.13793103,1.06,31.41,29.63207547,1.96,46.81,23.88265306,0.51,43.65,85.58823529,4.049,2771,717,1.05,0.08,13.125,202.02,167.31,0.1718146718,1.420168067,0.15,0.99,3/19/16,0,-0.04,0.17
J25B,0.67,42.93,64.07462687,0.8,38.41,48.0125,1.48,45.87,30.99324324,0.43,45.12,104.9302326,2.248,2639,702,1.16,0.08,14.5,201.20,166.53,0.1723161034,1.413547237,0.10,0.00,3/19/16,0,0.14,0.14
J25C,0.47,44.02,93.65957447,0.99,38.58,38.96969697,1.36,45.43,33.40441176,0.46,44.11,95.89130435,2.211,2556,690,1.11,0.08,13.875,215.34,176.36,0.1810160676,1.496986673,0.10,0.00,3/19/16,0,0.14,0.14
J26A,0.53,44.12,83.24528302,0.99,39.25,39.64646465,1.64,43.16,26.31707317,0.7,43.17,61.67142857,13.591,4354,717,1.4,0.09,15.55555556,220.75,190.02,0.139207248,1.612936084,0.22,0.00,3/23/16,0,0.32,0.32
J26B,0.69,43.44,62.95652174,1.04,37.74,36.28846154,1.67,44.52,26.65868263,0.67,42.38,63.25373134,9.508,4298,732,1.49,0.1,14.9,190.50,163.69,0.1407349081,1.389440625,0.10,0.00,3/23/16,0,0.27,0.27
J26C,0.66,43.15,65.37878788,0.95,41.2,43.36842105,1.55,45.34,29.2516129,NA,NA,NA,4.577,3445,782,1.2,0.08,15,183.92,159.08,0.1350587212,1.350309821,0.00,0.00,3/23/16,0,0.32,0.32
J27A,0.7,40.08,57.25714286,0.74,31.42,42.45945946,0.75,41.92,55.89333333,0.77,41,53.24675325,3.177,3211,696,1.23,0.08,15.375,157.80,138.41,0.1228770596,1.174857822,0.00,0.00,3/23/16,0,0.3,0.3
J27B,0.54,43.01,79.64814815,0.84,35.18,41.88095238,0.89,42.29,47.51685393,0.43,42.76,99.44186047,3.65,3300,669,1.24,0.08,15.5,170.95,145.28,0.1501608658,1.233172057,0.00,0.00,3/23/16,0,0.28,0.28
J27C,0.67,42.75,63.80597015,0.92,34.71,37.72826087,0.78,41.66,53.41025641,0.66,42.27,64.04545455,2.738,3257,730,1.18,0.08,14.75,194.77,159.65,0.1803152436,1.35514812,0.00,0.00,3/23/16,0,0.29,0.29
J28A,1.27,41.3,32.51968504,1.63,37.13,22.7791411,2.23,41.26,18.50224215,NA,NA,NA,6.767,2473,371,1.02,0.07,14.57142857,204.78,NA,NA,NA,0.38,0.00,3/23/16,0,0.13,0.13
J28B,1.12,43.26,38.625,1.6,38.2,23.875,2.24,41.76,18.64285714,NA,NA,NA,7.059,2187,396,0.98,0.07,14,183.92,171.54,0.06731187473,1.456073338,0.26,0.00,3/23/16,0,0.14,0.14
J28C,0.86,44.17,51.36046512,1.72,36.16,21.02325581,1.77,42.98,24.28248588,NA,NA,NA,8.293,2222,441,0.97,0.07,13.85714286,199.00,187.42,0.05819095477,1.59086665,0.22,0.00,3/23/16,0,0.11,0.11