"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-01",,,,,"0.00",",,7,2000","0.0",",,7,2000","1",",,7,2000","32",",,7","9",",,7","20",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-03","    2",",,7","0.21",",,7",,,"6.0",",,7,2000","7",",,7,2000","35",",,7","22",",,7","30",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-04",,,,,"0.44",",,7,2000","6.0",",,7,2000","10",",,7,2000","37",",,7","17",",,7","17",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-05",,,,,"0.00",",,7,2000","0.0",",,7,2000","9",",,7,2000","21",",,7","-4",",,7","-4",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-06",,,,,"0.00",",,7,2000","0.0",",,7,2000","9",",,7,2000","12",",,7","-26",",,7","2",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-07",,,,,"0.06",",,7,2000","1.0",",,7,2000","9",",,7,2000","29",",,7","-10",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-08",,,,,"0.56",",,7,2000","0.0",",,7,2000","6",",,7,2000","40",",,7","26",",,7","38",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-09",,,,,"0.05",",,7,2000","0.0",",,7,2000","3",",,7,2000","41",",,7","35",",,7","35",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-10",,,,,"0.00","T,,7,2000","0.0",",,7,2000","1",",,7,2000","42",",,7","35",",,7","39",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-11",,,,,"0.11",",,7,2000","0.0",",,7,2000","0","T,,7,2000","43",",,7","34",",,7","36",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-12",,,,,"0.05",",,7,2000","1.0",",,7,2000","1",",,7,2000","36",",,7","9",",,7","26",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-13",,,,,"0.00",",,7,2000","0.0",",,7,2000","1",",,7,2000","35",",,7","20",",,7","25",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-14",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","33",",,7","10",",,7","18",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-15",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","28",",,7","8",",,7","25",",,7,2000","    1",",,7",,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-16",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","28",",,7","22",",,7","26",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-17",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","35",",,7","23",",,7","25",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-18",,,,,"0.32",",,7,2000","0.0","T,,7,2000","0","T,,7,2000","38",",,7","25",",,7","33",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-19",,,,,"0.05",",,7,2000","0.0","T,,7,2000","0","T,,7,2000","40",",,7","30",",,7","32",",,7,2000",,,,,,,,,"    1",",,7",,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-20",,,,,"0.11",",,7,2000","1.3",",,7,2000","1",",,7,2000","38",",,7","29",",,7","30",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-21",,,,,"0.00","T,,7,2000","0.0","T,,7,2000","0","T,,7,2000","39",",,7","22",",,7","34",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-22",,,,,"0.04",",,7,2000","0.0",",,7,2000","0","T,,7,2000","40",",,7","28",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-23",,,,,"0.07",",,7,2000","1.0",",,7,2000","1",",,7,2000","38",",,7","28",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-24",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","34",",,7","22",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-25",,,,,"0.06",",,7,2000","0.0","T,,7,2000","0","T,,7,2000","33",",,7","26",",,7","29",",,7,2000",,,,,,,,,"    1",",,7",,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-26",,,,,"0.04",",,7,2000","0.0","T,,7,2000","0","T,,7,2000","35",",,7","26",",,7","29",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-27",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","39",",,7","14",",,7","25",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-28",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","37",",,7","12",",,7","23",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-29",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","39",",,7","11",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-30",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","42",",,7","13",",,7","31",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-01-31",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","41",",,7","23",",,7","34",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-01",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","48",",,7","29",",,7","33",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-02",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","40",",,7","29",",,7","32",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-03",,,,,"0.03",",,7,2000","0.0",",,7,2000","0","T,,7,2000","45",",,7","29",",,7","40",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-04",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","50",",,7","40",",,7","43",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-05",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","51",",,7","35",",,7","40",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-06",,,,,"0.00","T,,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","36",",,7","43",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-07",,,,,"0.53",",,7,2000","0.0",",,7,2000","0",",,7,2000","59",",,7","38",",,7","42",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-08",,,,,"0.03",",,7,2000","0.0",",,7,2000","0",",,7,2000","52",",,7","36",",,7","52",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-09",,,,,"0.03",",,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","46",",,7","50",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-10",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","51",",,7","37",",,7","37",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-11",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","45",",,7","21",",,7","34",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-12",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","48",",,7","23",",,7","31",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-13",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","52",",,7","23",",,7","31",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-14",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","56",",,7","20",",,7","37",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-15",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","58",",,7","24",",,7","41",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-16",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","58",",,7","35",",,7","39",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-17",,,,,"0.18",",,7,2000","0.0",",,7,2000","0",",,7,2000","51",",,7","28",",,7","39",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-18",,,,,"0.17",",,7,2000","0.0",",,7,2000","0",",,7,2000","53",",,7","34",",,7","40",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-19",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","55",",,7","35",",,7","45",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-20",,,,,"0.13",",,7,2000","0.0",",,7,2000","0",",,7,2000","49",",,7","38",",,7","42",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-21",,,,,"0.12",",,7,2000","0.0",",,7,2000","0",",,7,2000","49",",,7","33",",,7","34",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-22",,,,,"0.24",",,7,2000","1.0",",,7,2000","0","T,,7,2000","35",",,7","23",",,7","28",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-23",,,,,"0.00",",,7,2000","0.0",",,7,2000","0","T,,7,2000","36",",,7","14",",,7","22",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-24",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","35",",,7","14",",,7","22",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-25",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","36",",,7","14",",,7","22",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-26",,,,,"0.00","T,,7,2000","0.0",",,7,2000","0",",,7,2000","40",",,7","15",",,7","31",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-27",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","40",",,7","20",",,7","30",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-02-28",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","41",",,7","25",",,7","29",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-01",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","49",",,7","18",",,7","30",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-02",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","55",",,7","26",",,7","33",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-03",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","55",",,7","24",",,7","43",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-04",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","58",",,7","36",",,7","44",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-05",,,,,"0.26",",,7,2000","3.0",",,7,2000","1",",,7,2000","44",",,7","25",",,7","26",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-06",,,,,"0.00","T,,7,2000","0.0","T,,7,2000","0","T,,7,2000","35",",,7","22",",,7","33",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-07",,,,,"0.06",",,7,2000","0.0","T,,7,2000","0",",,7,2000","41",",,7","31",",,7","39",",,7,2000",,,,,"    1",",,7",,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-08",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","38",",,7","42",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-09",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","65",",,7","35",",,7","48",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-10",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","61",",,7","39",",,7","41",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-11",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","68",",,7","27",",,7","49",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-12",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","66",",,7","33",",,7","50",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-13",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","72",",,7","28",",,7","44",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-14",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","74",",,7","27",",,7","59",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-15",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","65",",,7","26",",,7","54",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-16",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","66",",,7","39",",,7","53",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-17",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","73",",,7","31",",,7","51",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-18",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","64",",,7","35",",,7","53",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-19",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","61",",,7","37",",,7","50",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-20",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","71",",,7","41",",,7","60",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-21",,,,,"0.29",",,7,2000","0.0",",,7,2000","0",",,7,2000","61",",,7","38",",,7","44",",,7,2000",,,"    1",",,7",,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-22",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","57",",,7","32",",,7","43",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-23",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","57",",,7","30",",,7","43",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-24",,,,,"0.04",",,7,2000","0.0",",,7,2000","0",",,7,2000","56",",,7","33",",,7","43",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-25",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","58",",,7","27",",,7","39",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-26",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","56",",,7","28",",,7","46",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-27",,,,,"0.15",",,7,2000","0.0",",,7,2000","0",",,7,2000","50",",,7","35",",,7","37",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-28",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","51",",,7","21",",,7","45",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-29",,,,,"0.00","T,,7,2000","0.0",",,7,2000","0",",,7,2000","68",",,7","26",",,7","51",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-30",,,,,"0.92",",,7,2000","4.5",",,7,2000","0","T,,7,2000","51",",,7","32",",,7","36",",,7,2000",,,"    1",",,7",,,,,,,"    1",",,7"
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-03-31",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","55",",,7","33",",,7","45",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-01",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","62",",,7","25",",,7","45",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-02",,,,,"0.18",",,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","40",",,7","46",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-03",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","52",",,7","32",",,7","39",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-04",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","24",",,7","48",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-05",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","72",",,7","34",",,7","62",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-06",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","63",",,7","48",",,7","55",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-07",,,,,"0.17",",,7,2000","0.0",",,7,2000","0",",,7,2000","55",",,7","42",",,7","44",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-08",,,,,"0.18",",,7,2000","0.0",",,7,2000","0",",,7,2000","47",",,7","32",",,7","35",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-09",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","53",",,7","22",",,7","44",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-10",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","57",",,7","32",",,7","40",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-11",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","61",",,7","28",",,7","47",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-12",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","71",",,7","35",",,7","59",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-13",,,,,"0.43",",,7,2000","0.0","T,,7,2000","0",",,7,2000","71",",,7","32",",,7","36",",,7,2000",,,"    1",",,7","    1",",,7",,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-14",,,,,"0.10",",,7,2000","0.0",",,7,2000","0",",,7,2000","49",",,7","32",",,7","38",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-15",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","59",",,7","22",",,7","40",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-16",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","69",",,7","27",",,7","59",",,7,2000",,,,,,,,,,,"    1",",,7"
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-17",,,,,"0.07",",,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","41",",,7","49",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-18",,,,,"0.12",",,7,2000","0.0",",,7,2000","0",",,7,2000","62",",,7","44",",,7","54",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-19",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","64",",,7","30",",,7","49",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-20",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","56",",,7","40",",,7","44",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-21",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","60",",,7","25",",,7","52",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-22",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","69",",,7","28",",,7","60",",,7,2000",,,,,,,,,,,,
"USC00265818","OROVADA 3 W, NV US","41.5684","-117.8388","1280.2","2017-04-23",,,,,"0.00",",,7,2000","0.0",",,7,2000","0",",,7,2000","67",",,7","38",",,7","55",",,7,2000",,,,,,,,,,,,
