lhs,rhs,est.std,se,z,pvalue,ci.lower,ci.upper,response
i_aet_aig_n,aet_aig*aig_n,-0.409,0.127,-3.218,0.001,-0.658,-0.16,scn
i_aet_aig_c,aet_aig*aig_c,-0.392,0.126,-3.099,0.002,-0.639,-0.144,scn
i_aet_pg_ag_n,aet_png*png_aig*aig_n,0.062,0.044,1.431,0.153,-0.023,0.148,scn
i_aet_pg_ag_c,aet_png*png_aig*aig_c,0.06,0.042,1.418,0.156,-0.023,0.142,scn
I_aet_n,aig_n*((aet_png*png_aig)+aet_aig),-0.346,0.123,-2.828,0.005,-0.587,-0.106,scn
I_aet_c,aig_c*((aet_png*png_aig)+aet_aig),-0.332,0.121,-2.748,0.006,-0.569,-0.095,scn
T_aet_aig_n,(aet_aig*aig_n)+aet_n,-0.221,0.17,-1.299,0.194,-0.555,0.112,scn
T_aet_aig_c,(aet_aig*aig_c)+aet_c,-0.168,0.163,-1.032,0.302,-0.486,0.151,scn
T_aet_ag_pg_n,(aig_n*((aet_png*png_aig)+aet_aig))+aet_n,-0.159,0.17,-0.934,0.35,-0.492,0.174,scn
T_aet_ag_pg_c,(aig_c*((aet_png*png_aig)+aet_aig))+aet_c,-0.108,0.163,-0.662,0.508,-0.427,0.211,scn
i_tmn_aig_n,tmn_aig*aig_n,0.27,0.094,2.88,0.004,0.086,0.453,scn
i_tmn_aig_c,tmn_aig*aig_c,0.258,0.092,2.804,0.005,0.078,0.439,scn
i_tmn_pg_ag_n,tmn_png*png_aig*aig_n,-0.059,0.041,-1.413,0.158,-0.14,0.023,scn
i_tmn_pg_ag_c,tmn_png*png_aig*aig_c,-0.056,0.04,-1.4,0.162,-0.135,0.022,scn
I_tmn_pg_ag_n,((tmn_png*png_aig)+tmn_aig)*aig_n,0.211,0.092,2.285,0.022,0.03,0.392,scn
I_tmn_pg_ag_c,((tmn_png*png_aig)+tmn_aig)*aig_c,0.202,0.09,2.252,0.024,0.026,0.378,scn
T_tmn_ag_c,(tmn_aig*aig_c)+tmn_c,0.277,0.107,2.602,0.009,0.068,0.486,scn
T_tmn_ag_pg_c,(((tmn_png*png_aig)+tmn_aig)*aig_c)+tmn_c,0.221,0.108,2.052,0.04,0.01,0.432,scn
i_p2_aig_n,p2_aig*aig_n,-0.635,0.172,-3.682,0,-0.973,-0.297,scn
i_p2_aig_c,p2_aig*aig_c,-0.608,0.171,-3.557,0,-0.943,-0.273,scn
i_p2_pg_ag_n,p2_png*png_aig*aig_n,0.114,0.071,1.623,0.105,-0.024,0.253,scn
i_p2_pg_ag_c,p2_png*png_aig*aig_c,0.11,0.069,1.597,0.11,-0.025,0.244,scn
I_p2_pg_ag_n,((p2_png*png_aig)+p2_aig)*aig_n,-0.52,0.163,-3.185,0.001,-0.841,-0.2,scn
I_p2_pg_ag_c,((p2_png*png_aig)+p2_aig)*aig_c,-0.499,0.159,-3.126,0.002,-0.811,-0.186,scn
T_p2_aig_n,(p2_aig*aig_n)+p2_n,-0.496,0.178,-2.782,0.005,-0.846,-0.147,scn
T_p2_aig_c,(p2_aig*aig_c)+p2_c,-0.684,0.159,-4.311,0,-0.995,-0.373,scn
T_p2_ag_pg_n,(((p2_png*png_aig)+p2_aig)*aig_n)+p2_n,-0.382,0.181,-2.105,0.035,-0.737,-0.026,scn
T_p2_ag_pg_c,(((p2_png*png_aig)+p2_aig)*aig_c)+p2_c,-0.575,0.166,-3.456,0.001,-0.901,-0.249,scn
i_cwd_aig_n,cwd_aig*aig_n,-0.26,0.096,-2.71,0.007,-0.448,-0.072,scn
i_cwd_aig_c,cwd_aig*aig_c,-0.249,0.095,-2.624,0.009,-0.435,-0.063,scn
i_sd_pg_ag_n,cwd_png*png_aig*aig_n,0.071,0.044,1.589,0.112,-0.017,0.158,scn
i_sd_pg_ag_c,cwd_png*png_aig*aig_c,0.068,0.043,1.575,0.115,-0.017,0.152,scn
I_cwd_pg_ag_n,((cwd_png*png_aig)+cwd_aig)*aig_n,-0.189,0.092,-2.052,0.04,-0.37,-0.008,scn
I_cwd_pg_ag_c,((cwd_png*png_aig)+cwd_aig)*aig_c,-0.181,0.09,-2.01,0.044,-0.358,-0.005,scn
T_cwd_aig_n,(cwd_aig*aig_n)+cwd_n,0.037,0.161,0.231,0.817,-0.278,0.352,scn
T_cwd_aig_c,(cwd_aig*aig_c)+cwd_c,0.139,0.15,0.927,0.354,-0.155,0.433,scn
T_cwd_ag_pg_n,(((cwd_png*png_aig)+cwd_aig)*aig_n)+cwd_n,0.108,0.158,0.682,0.495,-0.202,0.418,scn
T_cwd_ag_pg_c,(((cwd_png*png_aig)+cwd_aig)*aig_c)+cwd_c,0.207,0.148,1.4,0.162,-0.083,0.496,scn
i_shr_aig_n,shr_aig*aig_n,0.456,0.156,2.917,0.004,0.149,0.762,scn
i_shr_aig_c,shr_aig*aig_c,0.436,0.155,2.817,0.005,0.133,0.74,scn
T_shr_aig_c,(shr_aig*aig_c)+shr_c,0.357,0.175,2.046,0.041,0.015,0.699,scn
i_shr_lit_n,shr_lit*lit_n,-0.31,0.202,-1.536,0.125,-0.707,0.086,scn
i_shr_lit_c,shr_lit*lit_c,-0.342,0.208,-1.64,0.101,-0.75,0.067,scn
i_shr_bsc_lit_n,(shr_lit+bsc_lit)*lit_n,-0.535,0.33,-1.622,0.105,-1.181,0.112,scn
i_shr_bsc_lit_c,(shr_lit+bsc_lit)*lit_c,-0.589,0.337,-1.746,0.081,-1.25,0.072,scn
T_shr_lit_c,i_shr_lit_c+shr_c,-0.421,0.221,-1.906,0.057,-0.854,0.012,scn
T_shr_c,i_shr_lit_c+shr_c+i_shr_aig_c,0.015,0.261,0.058,0.954,-0.496,0.527,scn
T_shr_n,i_shr_lit_n+i_shr_aig_n,0.145,0.251,0.579,0.562,-0.346,0.636,scn
c_shr_aig_vs_lit_c,i_shr_aig_c-i_shr_lit_c,0.778,0.259,3.01,0.003,0.272,1.285,scn
c_shr_aig_vs_lit_n,i_shr_aig_n-i_shr_lit_n,0.766,0.26,2.943,0.003,0.256,1.276,scn
i_lit_pg_ag_c,lit_png*png_aig*aig_c,-0.246,0.144,-1.717,0.086,-0.528,0.035,scn
T_lit_c,(lit_png*png_aig*aig_c)+lit_c,0.222,0.231,0.962,0.336,-0.23,0.675,scn
i_lit_pg_ag_n,lit_png*png_aig*aig_n,-0.257,0.148,-1.741,0.082,-0.547,0.032,scn
T_lit_n,i_lit_pg_ag_n+lit_n,0.168,0.236,0.714,0.476,-0.294,0.63,scn
i_p2_aig,p2_aig*aig_bcn,0.255,0.13,1.956,0.051,-0.001,0.51,bcn
i_p2_aif,p2_aif*aif_bcn,0.183,0.088,2.072,0.038,0.01,0.356,bcn
I_p2,i_p2_aig+i_p2_aif,0.438,0.16,2.726,0.006,0.123,0.752,bcn
T_p2,i_p2_aig+p2_bcn+i_p2_aif,1.031,0.081,12.775,0,0.873,1.189,bcn
i_tmn_aig,tmn_aig*aig_bcn,-0.132,0.072,-1.824,0.068,-0.273,0.01,bcn
T_tmn,i_tmn_aig+tmn_bcn,-0.254,0.1,-2.533,0.011,-0.451,-0.057,bcn
i_aet_aig,aet_aig*aig_bcn,0.146,0.079,1.843,0.065,-0.009,0.3,bcn
i_aet_aif,aet_aif*aif_bcn,0.137,0.069,1.99,0.047,0.002,0.273,bcn
I_aet,i_aet_aig+i_aet_aif,0.283,0.107,2.635,0.008,0.072,0.493,bcn
T_aet,i_aet_aig+aet_bcn+i_aet_aif,0.418,0.109,3.857,0,0.206,0.631,bcn
i_cwd_aig,cwd_aig*aig_bcn,0.117,0.066,1.782,0.075,-0.012,0.246,bcn
i_cwd_aif,cwd_aif*aif_bcn,0.077,0.048,1.587,0.112,-0.018,0.171,bcn
I_cwd,i_cwd_aig+i_cwd_aif,0.194,0.083,2.33,0.02,0.031,0.357,bcn
i_shr_aig,shr_aig*aig_bcn,-0.119,0.079,-1.517,0.129,-0.273,0.035,bcn
i_shr_pg_ag,shr_png*png_aig*aig_bcn,-0.08,0.061,-1.307,0.191,-0.2,0.04,bcn
i_shr_aif,shr_aif*aif_bcn,-0.2,0.092,-2.179,0.029,-0.38,-0.02,bcn
I_shr_pg_ag_af,i_shr_aig+i_shr_aif+i_shr_pg_ag,-0.399,0.157,-2.545,0.011,-0.707,-0.092,bcn
i_tmn_png,tmn_png*png_pcn,-0.069,0.042,-1.62,0.105,-0.152,0.014,pcn
T_tmn,i_tmn_png+tmn_pcn,-0.35,0.101,-3.46,0.001,-0.548,-0.152,pcn
i_lit,lit_png*png_pcn,-0.173,0.083,-2.079,0.038,-0.336,-0.01,pcn
i_aet,aet_aig*aig_lit*lit_png*png_pcn,-0.046,0.027,-1.685,0.092,-0.099,0.007,pcn
i_p2,p2_aig*aig_lit*lit_png*png_pcn,-0.061,0.035,-1.74,0.082,-0.129,0.008,pcn
i_cwd,cwd_aig*aig_lit*lit_png*png_pcn,-0.033,0.021,-1.592,0.111,-0.074,0.008,pcn
T_aet,i_aet+aet_pcn,0.345,0.118,2.917,0.004,0.113,0.578,pcn
T_p2,i_p2+p2_pcn,0.879,0.075,11.664,0,0.731,1.026,pcn
T_cwd,i_cwd+cwd_pcn,0.304,0.118,2.582,0.01,0.073,0.535,pcn
i_tmn_aig,tmn_aig*aig_ocn,0.149,0.071,2.103,0.035,0.01,0.288,ocn
T_tmn,i_tmn_aig+tmn_ocn,-0.148,0.122,-1.217,0.224,-0.387,0.09,ocn
i_p2_aig,p2_aig*aig_ocn,-0.372,0.143,-2.597,0.009,-0.653,-0.091,ocn
T_p2,i_p2_aig+p2_ocn,0.619,0.13,4.752,0,0.364,0.874,ocn
i_aet_aig,aet_aig*aig_ocn,-0.236,0.098,-2.413,0.016,-0.427,-0.044,ocn
T_aet,i_aet_aig+aet_ocn,0.185,0.132,1.402,0.161,-0.074,0.444,ocn
i_cwd_aig,cwd_aig*aig_ocn,-0.135,0.067,-2.017,0.044,-0.266,-0.004,ocn
T_cwd,i_cwd_aig+cwd_ocn,0.274,0.115,2.378,0.017,0.048,0.5,ocn
i_shr,shr_aig*aig_ocn,0.37,0.143,2.583,0.01,0.089,0.651,ocn
