Species_name,Species_code*,Common_name,Mixed_evergreen_rank,Redwood_rank
Umbellularia california,UMCA or UMCA-D,Bay laurel,1 (116),3 (68)
Quercus agrifolia,QUAG,Coast live oak,2 (101),7 (12)
Notholithocarpus densiflorus,LIDE or,Tanoak,3 (83),2 (86)
,LIDE-D,,,
Arbutus menziesii,ARME,Madrone,4 (73),5 (18)
Quercus parvula,QUPA,Shreve’s oak,5 (56),4 (26)
Quercus chrysolepis,QUCH,Interior live oak,6 (52),14 (2)
Toxicodendron diversilobum,TODI,Poison oak,7 (35),9 (8)
Heteromeles arbutifolia,HEAR,Toyon,8 (29),12 (4)
Ceanothus oliganthus,CEOL,Ceanothus,9 (25),8 (10)
Pinus ponderosa,PIPO,Ponderosa pine,10 (16),NA (0)
Sequoia sempervirens,SESE,Redwood,21 (5),1 (111)
Acer macrophyllum,ACMA,Bigleaf maple,13 (11),6 (14)
Pseutotsuga menziesii,PSME,Douglas fir,18 (6),10 (6)